K,row_type,run_id,run_count,period_count,period_inference_service_sum_mean_ms,period_inference_service_sum_median_ms,period_inference_service_sum_p95_ms,period_inference_service_sum_p99_ms,periods_service_sum_over_33p33ms,period_service_sum_over_33p33_pct,period_service_sum_after_first_1s_mean_ms,period_service_sum_after_first_1s_over_period_pct
6,max,ALL,5,1800.0,30.312646858333334,29.5068485,36.2962385,41.66738175,275.0,15.277777777777779,30.273453972316386,15.254237288135593
7,run,run01,1,1800,36.83929290166667,36.8368085,43.0670266,47.28311909,1545,85.83333333333333,36.76358476666667,85.64971751412429
7,run,run02,1,1800,36.54685091166667,36.376823,42.867600350000004,46.512199609999996,1529,84.94444444444444,36.42903857175141,84.80225988700565
7,run,run03,1,1800,36.91892501555555,36.8116355,43.11884585,46.88793025,1543,85.72222222222223,36.83456989548022,85.48022598870057
7,run,run04,1,1800,36.90091038111111,36.9453485,42.766194299999995,46.68619974,1544,85.77777777777777,36.81957008813559,85.53672316384181
7,run,run05,1,1800,36.72733704388889,36.701809,42.5629673,46.8703788,1539,85.5,36.62590106101695,85.2542372881356
7,mean,ALL,5,1800.0,36.78666325077778,36.7344849,42.87652688,46.847965498,1540.0,85.55555555555556,36.69453287661017,85.34463276836158
7,sample_sd,ALL,5,0.0,0.1535781707942122,0.21787355344023462,0.22670531417404796,0.2873869682784922,6.557438524302,0.36430214023899954,0.16971327766596217,0.33567120401159306
7,min,ALL,5,1800.0,36.54685091166667,36.376823,42.5629673,46.512199609999996,1529.0,84.94444444444444,36.42903857175141,84.80225988700565
7,max,ALL,5,1800.0,36.91892501555555,36.9453485,43.11884585,47.28311909,1545.0,85.83333333333333,36.83456989548022,85.64971751412429
