K,scope,row_type,run_id,run_count,period_count,periods_with_waiting_carryover,waiting_carryover_period_pct,periods_with_inservice_carryover,inservice_carryover_period_pct,periods_with_inference_unfinished_carryover,inference_unfinished_carryover_period_pct,mean_waiting_carryover_depth,p95_waiting_carryover_depth,max_waiting_carryover_depth,mean_inservice_carryover_depth,max_inservice_carryover_depth,mean_inference_unfinished_depth,p95_inference_unfinished_depth,max_inference_unfinished_depth,maximum_consecutive_inference_unfinished_carryover_periods,pre_ready_carryover_period_pct,mean_pre_ready_carryover_depth,max_pre_ready_carryover_depth
4,first_1s_excluded,sample_sd,ALL,5,0.0,0.0,0.0,1.140175425099138,0.06441669068356712,1.140175425099138,0.06441669068356712,0.0,0.0,0.0,0.0006441669068356712,0.4472135954999579,0.0006441669068356712,0.0,0.4472135954999579,0.4472135954999579,0.0,0.0,0.0
4,first_1s_excluded,min,ALL,5,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,first_1s_excluded,max,ALL,5,1770.0,0.0,0.0,3.0,0.1694915254237288,3.0,0.1694915254237288,0.0,0.0,0.0,0.001694915254237288,1.0,0.001694915254237288,0.0,1.0,1.0,0.0,0.0,0.0
5,all_60s,run,run01,1,1800,28,1.5555555555555556,301,16.72222222222222,304,16.88888888888889,0.22277777777777777,0.0,31,0.16722222222222222,1,0.39,1.0,32,27,0.4444444444444444,0.06111111111111111,25
5,all_60s,run,run02,1,1800,26,1.4444444444444444,525,29.166666666666668,527,29.27777777777778,0.215,0.0,31,0.2916666666666667,1,0.5066666666666667,1.0,32,27,0.5,0.06888888888888889,25
5,all_60s,run,run03,1,1800,22,1.2222222222222223,281,15.611111111111112,282,15.666666666666668,0.17333333333333334,0.0,27,0.15611111111111112,1,0.32944444444444443,1.0,28,22,0.3888888888888889,0.052222222222222225,22
5,all_60s,run,run04,1,1800,25,1.3888888888888888,254,14.11111111111111,255,14.166666666666666,0.22277777777777777,0.0,32,0.1411111111111111,1,0.3638888888888889,1.0,33,25,0.4444444444444444,0.05277777777777778,21
5,all_60s,run,run05,1,1800,24,1.3333333333333335,256,14.222222222222221,258,14.333333333333334,0.1938888888888889,0.0,29,0.14222222222222222,1,0.33611111111111114,1.0,30,24,0.4444444444444444,0.059444444444444446,25
5,all_60s,mean,ALL,5,1800.0,25.0,1.3888888888888888,323.4,17.96666666666667,325.2,18.06666666666667,0.20555555555555555,0.0,30.0,0.17966666666666667,1.0,0.38522222222222224,1.0,31.0,25.0,0.4444444444444445,0.05888888888888889,23.6
5,all_60s,sample_sd,ALL,5,0.0,2.23606797749979,0.12422599874998828,114.34727806117643,6.352626558954247,114.54562409799861,6.363645783222145,0.021545243810739235,0.0,2.0,0.06352626558954247,0.0,0.07202387292839049,0.0,2.0,2.1213203435596424,0.039283710065919304,0.00683807423616176,1.949358868961793
5,all_60s,min,ALL,5,1800.0,22.0,1.2222222222222223,254.0,14.11111111111111,255.0,14.166666666666666,0.17333333333333334,0.0,27.0,0.1411111111111111,1.0,0.32944444444444443,1.0,28.0,22.0,0.3888888888888889,0.052222222222222225,21.0
5,all_60s,max,ALL,5,1800.0,28.0,1.5555555555555556,525.0,29.166666666666668,527.0,29.27777777777778,0.22277777777777777,0.0,32.0,0.2916666666666667,1.0,0.5066666666666667,1.0,33.0,27.0,0.5,0.06888888888888889,25.0
5,first_1s_excluded,run,run01,1,1770,3,0.1694915254237288,278,15.706214689265538,279,15.76271186440678,0.002824858757062147,0.0,3,0.15706214689265538,1,0.1598870056497175,1.0,4,7,0.0,0.0,0
5,first_1s_excluded,run,run02,1,1770,2,0.11299435028248588,501,28.30508474576271,502,28.361581920903955,0.0011299435028248588,0.0,1,0.2830508474576271,1,0.28418079096045196,1.0,2,8,0.0,0.0,0
5,first_1s_excluded,run,run03,1,1770,0,0.0,260,14.689265536723164,260,14.689265536723164,0.0,0.0,0,0.14689265536723164,1,0.14689265536723164,1.0,1,6,0.0,0.0,0
5,first_1s_excluded,run,run04,1,1770,1,0.05649717514124294,230,12.994350282485875,230,12.994350282485875,0.0005649717514124294,0.0,1,0.12994350282485875,1,0.13050847457627118,1.0,2,6,0.0,0.0,0
5,first_1s_excluded,run,run05,1,1770,0,0.0,234,13.220338983050848,234,13.220338983050848,0.0,0.0,0,0.13220338983050847,1,0.13220338983050847,1.0,1,6,0.0,0.0,0
5,first_1s_excluded,mean,ALL,5,1770.0,1.2,0.06779661016949153,300.6,16.983050847457626,301.0,17.005649717514125,0.000903954802259887,0.0,1.0,0.16983050847457629,1.0,0.17073446327683614,1.0,2.0,6.6,0.0,0.0,0.0
