acquisition_id,round,trace,policy,window,phase,arrival_start_s,arrival_end_s,n,miss_count,DMR_percent,start_lag_mean_ms,start_lag_p95_ms,start_lag_p99_ms,front_end_mean_ms,front_end_p95_ms,front_end_p99_ms,queue_mean_ms,queue_p95_ms,queue_p99_ms,service_mean_ms,service_p95_ms,service_p99_ms,local_mean_ms,local_p95_ms,local_p99_ms
primary_11,2,A,FIXED_C2,phase_remainder,3,46,60,2940,1281,43.57142857142857,0.710883624829932,2.5092545999999993,4.305394580000001,12.998789992517008,16.9393361,19.00010705000001,9.615070201020409,22.078608049999996,23.80001471000001,8.503448377891157,10.554156749999999,12.23377194,31.828192196258502,44.85441425,48.53382978
primary_11,2,A,FIXED_C2,K6_arrival_cohort,,,,5400,1934,35.81481481481482,1.6291726216666667,2.2351176500000003,16.337702380000433,12.283757431851853,14.920935900000002,17.871995670000008,12.271117046296297,21.27238475000008,150.56216203000028,8.689963535925926,10.205722199999999,11.65317919000001,34.874010635740746,47.49827525000006,215.96330696000004
primary_11,2,A,FIXED_C2,K7_arrival_cohort,,,,6300,2735,43.41269841269841,0.7015454166666666,2.5038204499999983,4.2729520100000045,12.938438138571428,16.71868765,18.73102907,9.67685152952381,22.27328514999999,23.992888290000003,8.505495697936508,10.5283971,12.181920020000002,31.822330782698412,44.8806271,48.52567098
primary_12,2,A,K_LOOKUP_C2_C4,startup,0,0,1,180,180,100.0,55.58494771666667,220.52460784999997,238.95440394,22.375867783333334,21.610037749999986,271.85908862,158.99969749444443,227.24118039999996,234.64814702,9.807987866666668,14.13630765,24.225768830000018,246.7685008611111,316.30780675,325.7397874
primary_12,2,A,K_LOOKUP_C2_C4,phase_remainder,0,1,15,2520,951,37.73809523809524,0.5847991765873015,1.8234287999999972,3.3604616699999994,12.145175512301586,15.605677899999991,18.02462752,13.699163223412699,71.25340729999975,133.70971735,8.724728210714286,10.329787299999996,12.70099595,35.153866123015874,94.45388214999996,158.37414041999997
primary_12,2,A,K_LOOKUP_C2_C4,transition,1,15,16,210,99,47.142857142857146,0.9242172142857144,4.029778149999998,4.92736443,13.123202385714285,17.281169049999995,19.447868529999997,5.527528119047619,15.1862601,17.61373733,15.010030114285716,19.26460644999999,23.734575349999997,34.58497783333333,45.219108599999984,47.96520892
primary_12,2,A,K_LOOKUP_C2_C4,phase_remainder,1,16,30,2940,1318,44.82993197278912,0.9923793598639457,3.342193249999998,5.366096440000003,13.056792405782312,16.557443799999998,18.500228340000007,5.579898800340136,15.490753449999998,17.07283624,15.004105965986396,18.945989849999997,21.2945172,34.63317653197279,45.205702849999994,48.29544139
primary_12,2,A,K_LOOKUP_C2_C4,transition,2,30,31,180,59,32.77777777777778,0.6189028444444444,2.0589538499999995,3.949603700000003,12.314933838888889,15.463270849999999,18.255031560000017,7.180825944444444,16.0030105,16.888141440000002,8.603958372222223,9.802052349999997,11.004074160000004,28.718621,38.62604445,39.6452052
primary_12,2,A,K_LOOKUP_C2_C4,phase_remainder,2,31,45,2520,819,32.5,0.5731358841269841,1.9285265999999954,3.4390301699999983,11.838625301587303,14.315152749999998,16.148411179999997,7.491349932936508,16.107645299999998,17.010665789999997,8.690305886904762,10.06317815,11.25510042,28.593417005555555,38.4058507,39.96334945
primary_12,2,A,K_LOOKUP_C2_C4,transition,3,45,46,210,93,44.285714285714285,0.8924790761904762,2.8927599999999987,3.51591234,12.866463895238097,15.915052949999998,17.02149455,5.500478038095237,14.850318549999999,15.66514434,14.727657680952381,18.183262299999996,19.69743018,33.987078690476196,44.296922949999995,45.122874630000005
