acquisition_id,round,trace,policy,phase,logical_boundary_ns,notification_ns,apply_ns,old_C,new_C,active_counter_at_apply,A_service_at_apply,ready_at_apply,generated_backlog_at_apply,due_not_generated_at_apply,first_A_service_le_C_ns,first_A_service_lt_C_ns,first_counter_le_C_ns,first_counter_lt_C_ns,first_new_admission_ns,cohort_at_apply,n,miss_count,DMR_percent,start_lag_mean_ms,start_lag_p95_ms,start_lag_p99_ms,front_end_mean_ms,front_end_p95_ms,front_end_p99_ms,queue_mean_ms,queue_p95_ms,queue_p99_ms,service_mean_ms,service_p95_ms,service_p99_ms,local_mean_ms,local_p95_ms,local_p99_ms
primary_03,1,A,K_LOOKUP_C2_C4,3,85671099785040,85671099869053,85671099884775,2,4,2,2,0,2,7,85671099884775,85671099884775,85671099884775,85671099884775,85671110559461,generated_after_apply,3150,1429,45.36507936507937,1.0045746641269842,3.1660197499999985,5.559341719999999,13.133271341904761,16.844558149999997,18.573987419999998,5.663260331428572,15.41577215,16.93331909999999,15.062718098412699,18.898658949999998,21.270548969999965,34.86382443587301,45.453061299999995,47.77986342999999
primary_04,1,B,FIXED_C2,1,85704983847952,85704983949740,85704983979139,2,2,2,2,1,3,6,85704983979139,85704987711388,85704983979139,85704987725036,85704987757073,already_service,2,2,100.0,0.3393695,0.39995345,0.40533869,13.340252,13.462911199999999,13.47381424,15.052301,15.202444400000001,15.21579048,8.6761035,8.89933365,8.91917633,37.408026,37.5981564,37.615056880000004
primary_04,1,B,FIXED_C2,1,85704983847952,85704983949740,85704983979139,2,2,2,2,1,3,6,85704983979139,85704987711388,85704983979139,85704987725036,85704987757073,already_ready,1,1,100.0,0.536825,0.536825,0.536825,16.016261,16.016261,16.016261,20.703582,20.703582,20.703582,5.415482,5.415482,5.415482,42.67215,42.67215,42.67215
primary_04,1,B,FIXED_C2,1,85704983847952,85704983949740,85704983979139,2,2,2,2,1,3,6,85704983979139,85704987711388,85704983979139,85704987725036,85704987757073,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_04,1,B,FIXED_C2,1,85704983847952,85704983949740,85704983979139,2,2,2,2,1,3,6,85704983979139,85704987711388,85704983979139,85704987725036,85704987757073,generated_after_apply,8550,3139,36.71345029239766,0.6305532004678363,2.204125099999998,3.8591047100000044,12.341848263859648,15.572053899999995,17.52342428,8.324393399532164,18.879165349999987,23.475762059999997,8.602149032046784,10.1597637,11.60639553,29.898943895906434,42.9788376,47.305277800000006
primary_04,1,B,FIXED_C2,2,85719983847952,85719983948739,85719983972091,2,2,2,2,0,2,7,85719983972091,85719988235251,85719983972091,85719988252880,85719994546600,already_service,2,2,100.0,1.325514,2.2224036000000003,2.30212712,11.96527,13.200486699999999,13.310283740000001,13.8617,14.0012261,14.01362842,10.6101675,10.771151849999999,10.78546157,37.7626515,37.80046815,37.80382963
primary_04,1,B,FIXED_C2,2,85719983847952,85719983948739,85719983972091,2,2,2,2,0,2,7,85719983972091,85719988235251,85719983972091,85719988252880,85719994546600,already_ready,0,,,,,,,,,,,,,,,,,
primary_04,1,B,FIXED_C2,2,85719983847952,85719983948739,85719983972091,2,2,2,2,0,2,7,85719983972091,85719988235251,85719983972091,85719988252880,85719994546600,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_04,1,B,FIXED_C2,2,85719983847952,85719983948739,85719983972091,2,2,2,2,0,2,7,85719983972091,85719988235251,85719983972091,85719988252880,85719994546600,generated_after_apply,5850,2263,38.68376068376068,0.6597218299145299,2.364074550000001,4.023861190000007,12.482326646666667,15.918392,17.737809980000005,8.753275348205129,21.25540025,23.84436811000001,8.580318493162393,10.2228654,11.764499650000014,30.47564231794872,44.06407205,48.05701774
primary_04,1,B,FIXED_C2,3,85734983847952,85734983941261,85734983959242,2,2,2,2,1,3,6,85734983959242,85734987462146,85734983959242,85734987482378,85734987513962,already_service,2,2,100.0,1.1127065,1.8069156499999999,1.8686231299999998,13.783194,14.727371400000001,14.811298279999999,13.031634,13.6312842,13.68458644,9.677679,11.3083323,11.45327926,37.6052135,38.19713045,38.24974529
primary_04,1,B,FIXED_C2,3,85734983847952,85734983941261,85734983959242,2,2,2,2,1,3,6,85734983959242,85734987462146,85734983959242,85734987482378,85734987513962,already_ready,1,1,100.0,4.39028,4.39028,4.39028,15.240553,15.240553,15.240553,17.386122,17.386122,17.386122,5.696985,5.696985,5.696985,42.71394,42.71394,42.71394
primary_04,1,B,FIXED_C2,3,85734983847952,85734983941261,85734983959242,2,2,2,2,1,3,6,85734983959242,85734987462146,85734983959242,85734987482378,85734987513962,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_04,1,B,FIXED_C2,3,85734983847952,85734983941261,85734983959242,2,2,2,2,1,3,6,85734983959242,85734987462146,85734983959242,85734987482378,85734987513962,generated_after_apply,2700,876,32.44444444444444,0.574662344074074,1.8790065999999985,3.201709589999998,11.878199327037036,14.288154049999997,16.26849105999999,7.4069594362962965,15.992109149999997,16.815359879999995,8.646234078148149,9.8659386,10.675664569999991,28.506055185555557,38.259552,39.247911349999995
