request_id,phase,round,iteration,sample_id,split_point,network_used,activation_shape,payload_bytes,request_payload_sha256,output_shape,response_payload_bytes,response_payload_sha256,device_inference_wall_ms,device_inference_cuda_ms,remote_roundtrip_ms,e2e_inference_ms,success,error
47,warmup,0,1,149,6,True,"[1, 160, 24, 24]",368640,218d67e35cc224b9a1092f76cb5190d92b96f7f254a9b3ac75643c73bdaf2082,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,18.588098,18.169727325439453,20.980444,39.568542,True,
48,warmup,0,1,149,7,True,"[1, 256, 12, 12]",147456,8b21c9cbbac63ecdc45a93b0bd9713dbc5ecd65391a784831031b79fbe447dca,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,28.951699,28.534048080444336,8.970131,37.92183,True,
49,warmup,0,1,149,8,True,"[1, 1280]",5120,f536598bbde266fb3492cfbd37526ed1b95a0450d52f86d96709e52d099cd6b6,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,29.26682,29.21881675720215,9.994646,39.261466,True,
50,warmup,0,1,149,9,False,"[1, 1000]",0,NA,"[1, 1000]",0,NA,27.822423,27.69980812072754,NA,27.881738,True,
51,warmup,0,2,299,0,True,"[1, 3, 384, 384]",1769472,9618940284a7da9a7ec5bbd0b175a97efcb58e117ff029f53788e8d1d4e0b11b,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,0.0,0.0,67.752395,67.752395,True,
52,warmup,0,2,299,1,True,"[1, 24, 192, 192]",3538944,67e01a742d07c2ca535a73c4c8de89e995a61b9dbd0703ceb4d7c6da57e3172a,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,0.545448,0.1464959979057312,99.814794,100.360242,True,
53,warmup,0,2,299,2,True,"[1, 24, 192, 192]",3538944,1d01cc285401cc9ecbef6af2d9ade12e821830439b456379e4367e78e41941cf,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,3.111609,2.687040090560913,92.013315,95.124924,True,
54,warmup,0,2,299,3,True,"[1, 48, 96, 96]",1769472,794fb10063d9065ad49143f0072e9463705e2dfc8cab44d53319c987a4727c64,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,8.474406,8.018815994262695,51.145063,59.619469,True,
55,warmup,0,2,299,4,True,"[1, 64, 48, 48]",589824,cf90276a5b62ce83322d240681e2e3daad2573426900cae90894787a703ba180,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,11.297327,10.833696365356445,28.975857,40.273184,True,
56,warmup,0,2,299,5,True,"[1, 128, 24, 24]",294912,16dccb383c7e1d5c1d741faa2bae01e58365bfb67ac1a83ec93e9a1bd33fb5a4,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,14.549975,14.080096244812012,23.037778,37.587753,True,
57,warmup,0,2,299,6,True,"[1, 160, 24, 24]",368640,7b78e48598cd0151590557db307961300c31d5ea3967a8a5fb9c5108b17ce82c,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,22.620008,22.141536712646484,24.304729,46.924737,True,
58,warmup,0,2,299,7,True,"[1, 256, 12, 12]",147456,4a4150013da97ebc6627bf6fcac4755fec0a4cb7dbc85b899e44968a4d15216f,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,35.519241,35.01968002319336,8.300128,43.819369,True,
59,warmup,0,2,299,8,True,"[1, 1280]",5120,2c6e395e8647da1e08e093e4c8cc1bc26084c63c5bc35ef7baff61f82202e717,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,29.482683,29.432640075683594,9.274317,38.757,True,
60,warmup,0,2,299,9,False,"[1, 1000]",0,NA,"[1, 1000]",0,NA,24.151138,24.115808486938477,NA,24.201749,True,
61,warmup,0,3,0,0,True,"[1, 3, 384, 384]",1769472,7ab6cf3da25978cfb8b411994e4741372d4993d1f866042079887cf364ebd687,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,0.0,0.0,69.359077,69.359077,True,
62,warmup,0,3,0,1,True,"[1, 24, 192, 192]",3538944,78efa18f2814adfce7884ad1c2dc9896ec2ce31de7ef7b55c58241c16f69fc21,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,0.445698,0.11340799927711487,111.630751,112.076449,True,
63,warmup,0,3,0,2,True,"[1, 24, 192, 192]",3538944,a80d9c872917c6ff7756b22db93e3d34ecf2940223c2fd089433443e484c00c9,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,2.396893,2.042880058288574,91.441871,93.838764,True,
64,warmup,0,3,0,3,True,"[1, 48, 96, 96]",1769472,4f390f8e3e072df6b22d9e592c684fd44155e96fde037d647a1a40ed9fe0f62f,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,6.358312,5.998144149780273,57.454719,63.813031,True,
65,warmup,0,3,0,4,True,"[1, 64, 48, 48]",589824,1897a1cda5ca8d586fff8a7e818f074909070b49c8eef3270a835efa8e43255d,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,8.373367,7.994527816772461,32.118337,40.491704,True,
66,warmup,0,3,0,5,True,"[1, 128, 24, 24]",294912,4374ce04152dea8ef393a08e8e26550bf031e2788b3173e6d5398c19e6b39f09,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,10.655695,10.271039962768555,22.036459,32.692154,True,
67,warmup,0,3,0,6,True,"[1, 160, 24, 24]",368640,4d72df879cc42ce6b8cefc6971851320f70743146cd85141c7b0730f712cde11,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,16.365281,16.200639724731445,21.961513,38.326794,True,
68,warmup,0,3,0,7,True,"[1, 256, 12, 12]",147456,90b2283c578501bf446dc5ae83fde5e832ffe269df7c90a908e63f6c8fed3836,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,25.694134,25.50771141052246,8.819954,34.514088,True,
69,warmup,0,3,0,8,True,"[1, 1280]",5120,ed0665df177a724dee349ef4a86ec0f1551887ba068b54a38b826e59191fa1a1,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,26.101109,26.04096031188965,6.889277,32.990386,True,
70,warmup,0,3,0,9,False,"[1, 1000]",0,NA,"[1, 1000]",0,NA,17.028442,16.97635269165039,NA,17.103479,True,
71,warmup,0,4,149,0,True,"[1, 3, 384, 384]",1769472,47a6bc967793854f8c725a134ffa98bb8518d6b4fc7bf08f4ed5c37513073571,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,0.0,0.0,59.390969,59.390969,True,
72,warmup,0,4,149,1,True,"[1, 24, 192, 192]",3538944,3d7f2fc4c950875182f6eca5fee15289187bc27045a07908310d74278f27d97d,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,0.311391,0.07417599856853485,93.305177,93.616568,True,
73,warmup,0,4,149,2,True,"[1, 24, 192, 192]",3538944,d4ae850c17fe4904cfa303fe15bd84c68fb59ca9fef222e9190c405f109feedd,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,1.61536,1.3615039587020874,94.443758,96.059118,True,
74,warmup,0,4,149,3,True,"[1, 48, 96, 96]",1769472,d517ee466078c00f4053d8413e5b10789889d668588574d7ed1461fe4d32201f,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,4.305874,4.166431903839111,54.940216,59.24609,True,
75,warmup,0,4,149,4,True,"[1, 64, 48, 48]",589824,c2daf35102573c9a49f537698efe6dcce61f0b8d84712071dad8d61405b2898a,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,5.425186,5.293471813201904,29.709248,35.134434,True,
