K,run_id,second,waiting_time_mean,active_time_mean,logical_frame_deadline_miss_pct,boundary_prior_waiting_mean,boundary_prior_active_mean
5,run03,23,0.834058082,1.147455833,0.0,0,0
5,run03,24,0.833175308,1.149204041,0.0,0,0
5,run03,25,0.891591837,1.159980891,1.3333333333333333,0,0.06666666666666667
5,run03,26,0.836795857,1.144977377,0.6666666666666666,0,0.03333333333333333
5,run03,27,0.892643699,1.158879527,0.6666666666666666,0,0.03333333333333333
5,run03,28,0.915216098,1.17159453,2.6666666666666665,0,0.13333333333333333
5,run03,29,0.867491918,1.155839312,0.6666666666666666,0,0.03333333333333333
5,run03,30,0.871136373,1.161141785,0.0,0,0
5,run03,31,0.859940097,1.160306304,0.6666666666666666,0,0.03333333333333333
5,run03,32,0.866079453,1.164548804,0.6666666666666666,0,0.03333333333333333
5,run03,33,0.873276506,1.16199153,1.3333333333333333,0,0.06666666666666667
5,run03,34,0.840897601,1.160508449,0.0,0,0
5,run03,35,0.839155229,1.150965286,1.3333333333333333,0,0.06666666666666667
5,run03,36,0.872852702,1.156737753,0.6666666666666666,0,0.03333333333333333
5,run03,37,0.851633204,1.148839877,0.0,0,0
5,run03,38,0.840849454,1.15019998,0.0,0,0
5,run03,39,0.837906515,1.154017557,0.0,0,0
5,run03,40,0.818771475,1.143049486,0.0,0,0
5,run03,41,0.88360351,1.149557441,0.6666666666666666,0,0.03333333333333333
5,run03,42,0.783047579,1.135919053,0.0,0,0
5,run03,43,0.845427006,1.146872372,0.0,0,0
5,run03,44,0.864277944,1.142332905,0.0,0,0
5,run03,45,0.868023327,1.151144884,0.0,0,0
5,run03,46,0.871050896,1.14846967,0.0,0,0
5,run03,47,0.863422569,1.14937941,0.0,0,0
5,run03,48,0.819506373,1.146863222,0.0,0,0
5,run03,49,0.836970462,1.145486886,0.0,0,0
5,run03,50,0.875371839,1.155488042,0.0,0,0
5,run03,51,0.84834903,1.154524629,0.0,0,0
5,run03,52,0.875253583,1.157079995,0.6666666666666666,0,0.03333333333333333
5,run03,53,0.866326201,1.153236426,0.0,0,0
5,run03,54,0.831020958,1.145835885,0.0,0,0
5,run03,55,0.845208952,1.149839949,0.0,0,0
5,run03,56,0.817783362,1.147562387,0.0,0,0
5,run03,57,0.829851525,1.142703288,0.0,0,0
5,run03,58,0.879225886,1.166469776,0.0,0,0
5,run03,59,0.860846868,1.140791622,0.6666666666666666,0,0.03333333333333333
5,run04,0,3.759439298,1.275368621,44.666666666666664,3.3,0.7
5,run04,1,0.391251794,1.149828784,0.0,0,0
5,run04,2,0.42977174,1.150482416,0.0,0,0
5,run04,3,0.440843857,1.117572079,0.0,0,0
5,run04,4,0.470742377,1.132059469,0.0,0,0
5,run04,5,0.507235576,1.147482379,0.0,0,0
5,run04,6,0.468434821,1.147467988,0.0,0,0
5,run04,7,0.466469645,1.136868558,0.0,0,0
5,run04,8,0.489100634,1.131381546,0.0,0,0
5,run04,9,0.462783004,1.12890064,0.0,0,0
5,run04,10,0.44846193,1.124328995,0.0,0,0
5,run04,11,0.456704107,1.121369564,0.0,0,0
5,run04,12,0.457355134,1.1106676,0.0,0,0
5,run04,13,0.427510308,1.11312435,0.0,0,0
5,run04,14,0.429141339,1.120526237,0.0,0,0
5,run04,15,0.447027417,1.118708244,0.0,0,0
5,run04,16,0.448984564,1.114300889,0.0,0,0
5,run04,17,0.444213681,1.133694701,0.0,0,0
5,run04,18,0.422044946,1.105956358,0.0,0,0
5,run04,19,0.449030328,1.123656967,0.0,0,0
5,run04,20,0.456547448,1.113100972,0.0,0,0
5,run04,21,0.614039279,1.155295729,0.0,0,0
5,run04,22,0.467407445,1.15204602,0.0,0,0
5,run04,23,0.432707882,1.150765045,0.0,0,0
5,run04,24,0.46873702,1.14219891,0.0,0,0
5,run04,25,0.530263118,1.152487667,0.0,0,0
5,run04,26,0.417240631,1.131535359,0.0,0,0
5,run04,27,0.427251105,1.147942557,1.3333333333333333,0,0.06666666666666667
5,run04,28,0.404054582,1.146346452,0.0,0,0
5,run04,29,0.418784622,1.141495079,0.0,0,0
5,run04,30,0.467737655,1.127001926,0.0,0,0
5,run04,31,0.50911688,1.170723589,2.0,0,0.1
5,run04,32,0.87315496,1.176962581,7.333333333333333,0.06666666666666667,0.3
5,run04,33,0.832932045,1.167043731,0.6666666666666666,0,0.03333333333333333
5,run04,34,0.818491509,1.170402365,2.0,0,0.1
5,run04,35,0.805963965,1.159522319,1.3333333333333333,0,0.06666666666666667
5,run04,36,0.847542848,1.152237579,0.6666666666666666,0,0.03333333333333333
5,run04,37,0.851409496,1.152871965,0.0,0,0
5,run04,38,0.879676367,1.209380528,3.3333333333333335,0,0.16666666666666666
5,run04,39,0.903533541,1.161913901,0.0,0,0
5,run04,40,0.850525075,1.149638964,0.6666666666666666,0,0.03333333333333333
5,run04,41,0.711938329,1.146029384,1.3333333333333333,0,0.06666666666666667
5,run04,42,0.859363509,1.147379706,0.6666666666666666,0,0.03333333333333333
5,run04,43,0.855812416,1.147208816,0.0,0,0
5,run04,44,0.863841631,1.157744811,0.0,0,0
5,run04,45,0.846681399,1.162811381,0.0,0,0
5,run04,46,0.859671877,1.172201238,0.0,0,0
5,run04,47,0.867602542,1.174570155,0.0,0,0
