fold,service_lookup_id,K,C,A_start,level,key,training_samples,training_runs
2,36,2,1,0,KCA_start,"(2, 1, 0)",14366,4
2,37,2,2,0,KCA_start,"(2, 2, 0)",7177,4
2,38,2,2,1,KCA_start,"(2, 2, 1)",7191,4
2,39,2,3,0,KCA_start,"(2, 3, 0)",7179,4
2,40,2,3,1,KCA_start,"(2, 3, 1)",7180,4
2,41,2,3,2,CA_start,"(3, 2)",110986,25
2,42,2,4,0,KCA_start,"(2, 4, 0)",7179,4
2,43,2,4,1,KCA_start,"(2, 4, 1)",7178,4
2,44,2,4,2,CA_start,"(4, 2)",35582,22
2,45,2,4,3,CA_start,"(4, 3)",73818,21
2,46,2,5,0,KCA_start,"(2, 5, 0)",7172,4
2,47,2,5,1,KCA_start,"(2, 5, 1)",7174,4
2,48,2,5,2,CA_start,"(5, 2)",35509,23
2,49,2,5,3,CA_start,"(5, 3)",28217,18
2,50,2,5,4,CA_start,"(5, 4)",42846,16
2,51,2,6,0,KCA_start,"(2, 6, 0)",7157,4
2,52,2,6,1,KCA_start,"(2, 6, 1)",7159,4
2,53,2,6,2,CA_start,"(6, 2)",35284,23
2,54,2,6,3,CA_start,"(6, 3)",27969,22
2,55,2,6,4,CA_start,"(6, 4)",20806,15
2,56,2,6,5,CA_start,"(6, 5)",20704,13
2,57,2,7,0,KCA_start,"(2, 7, 0)",7158,4
2,58,2,7,1,KCA_start,"(2, 7, 1)",7159,4
2,59,2,7,2,CA_start,"(7, 2)",34756,21
2,60,2,7,3,CA_start,"(7, 3)",28359,23
2,61,2,7,4,CA_start,"(7, 4)",21684,15
2,62,2,7,5,CA_start,"(7, 5)",14706,13
2,63,2,7,6,CA_start,"(7, 6)",8737,9
2,64,2,8,0,KCA_start,"(2, 8, 0)",7158,4
2,65,2,8,1,KCA_start,"(2, 8, 1)",7160,4
2,66,2,8,2,CA_start,"(8, 2)",34748,21
2,67,2,8,3,CA_start,"(8, 3)",28349,21
2,68,2,8,4,CA_start,"(8, 4)",21631,15
2,69,2,8,5,CA_start,"(8, 5)",14532,11
2,70,2,8,6,CA_start,"(8, 6)",7445,10
2,71,2,8,7,CA_start,"(8, 7)",1294,5
2,72,3,1,0,KCA_start,"(3, 1, 0)",21520,4
