scope,model,stage,runs,observed_rate_mean,predicted_rate_mean,signed_rate_gap,absolute_mean_rate_gap,mean_run_absolute_error,SD_run_absolute_error
K7/C3,B1,Service,5,0.3674199523920759,0.3959439676132235,0.02852401522114756,0.02852401522114756,0.04479997524188396,0.04200060758572246
K7/C3,B1,On_time,5,0.41355101547342094,0.37937792899195166,-0.03417308648146927,0.03417308648146927,0.04913831632524095,0.07091689913493548
K7/C3,P,Queue,5,0.21902903213450314,0.16707606516587453,-0.05195296696862861,0.05195296696862861,0.05345294402515026,0.0767187914848857
K7/C3,P,Service,5,0.3674199523920759,0.4051963469406534,0.03777639454857745,0.03777639454857745,0.04266226905577495,0.06616993576757016
K7/C3,P,On_time,5,0.41355101547342094,0.4277275878934721,0.014176572420051159,0.014176572420051159,0.02034343970552508,0.005448454715538467
K7/C4,B0,Queue,5,0.039519058128473374,0.13358104116763833,0.09406198303916496,0.09406198303916496,0.09406198303916498,0.008911446941147524
K7/C4,B0,Service,5,0.42628945540240226,0.4254471212721308,-0.0008423341302714604,0.0008423341302714604,0.009299333637114127,0.007600646176935484
K7/C4,B0,On_time,5,0.5341914864691244,0.44097183756023084,-0.09321964890889356,0.09321964890889356,0.09321964890889352,0.007365664347233856
K7/C4,B1,Queue,5,0.039519058128473374,0.09396235012017709,0.05444329199170372,0.05444329199170372,0.05444329199170371,0.007745896406361674
K7/C4,B1,Service,5,0.42628945540240226,0.4413731343925525,0.015083678990150229,0.015083678990150229,0.015083678990150229,0.00825214600024087
K7/C4,B1,On_time,5,0.5341914864691244,0.46466451548727045,-0.06952697098185395,0.06952697098185395,0.06952697098185395,0.005720962497077594
K7/C4,P,Queue,5,0.039519058128473374,0.018878704729309994,-0.02064035339916338,0.02064035339916338,0.020640353399163373,0.008025152335890715
K7/C4,P,Service,5,0.42628945540240226,0.445005211595823,0.01871575619342075,0.01871575619342075,0.018715756193420707,0.005973254642941718
K7/C4,P,On_time,5,0.5341914864691244,0.5361160836748671,0.001924597205742673,0.001924597205742673,0.002416308952354851,0.0023080439333996654
K7/C5,B0,Queue,5,0.06623130077404527,0.13852519352194465,0.07229389274789938,0.07229389274789938,0.07229389274789937,0.010751908790593828
K7/C5,B0,Service,5,0.5962462790322631,0.5606119330669621,-0.03563434596530102,0.03563434596530102,0.035634345965300906,0.011272293930763988
K7/C5,B0,On_time,5,0.3375224201936917,0.3008628734110933,-0.03665954678259842,0.03665954678259842,0.03665954678259842,0.021576083736037796
K7/C5,B1,Queue,5,0.06623130077404527,0.0938640826430092,0.027632781868963938,0.027632781868963938,0.02763278186896394,0.011089613348743007
K7/C5,B1,Service,5,0.5962462790322631,0.5799408681928417,-0.016305410839421386,0.016305410839421386,0.016704531427806035,0.009654221446051115
K7/C5,B1,On_time,5,0.3375224201936917,0.3261950491641491,-0.011327371029542621,0.011327371029542621,0.015357417197315527,0.017998531322242682
K7/C5,P,Queue,5,0.06623130077404527,0.07890712636571498,0.012675825591669715,0.012675825591669715,0.012675825591669715,0.010285694037324095
K7/C5,P,Service,5,0.5962462790322631,0.5232201559012531,-0.07302612313100998,0.07302612313100998,0.0730261231310099,0.011373268872472394
K7/C5,P,On_time,5,0.3375224201936917,0.3978727177330319,0.06035029753934018,0.06035029753934018,0.0603502975393402,0.0214594033704183
K7/C6,B0,Queue,5,0.08336693855204798,0.10262425574314644,0.019257317191098466,0.019257317191098466,0.019257317191098456,0.017792848130670124
K7/C6,B0,Service,5,0.8407183281897508,0.7826435222040287,-0.05807480598572212,0.05807480598572212,0.05807480598572203,0.013839984129470698
K7/C6,B0,On_time,5,0.07591473325820126,0.11473222205282478,0.03881748879462352,0.03881748879462352,0.04184716976730305,0.026158257816356043
K7/C6,B1,Queue,5,0.08336693855204798,0.061152424089650825,-0.022214514462397153,0.022214514462397153,0.02507924025872737,0.014710614966252407
K7/C6,B1,Service,5,0.8407183281897508,0.8054659933533828,-0.03525233483636803,0.03525233483636803,0.03525233483636803,0.01050062476913428
K7/C6,B1,On_time,5,0.07591473325820126,0.13338158255696642,0.05746684929876515,0.05746684929876515,0.05746684929876515,0.02987312948780177
K7/C6,P,Queue,5,0.08336693855204798,0.08484515834404036,0.0014782197919923773,0.0014782197919923773,0.012136978589801835,0.005047861651703321
K7/C6,P,Service,5,0.8407183281897508,0.7780454204161901,-0.06267290777356072,0.06267290777356072,0.06267290777356072,0.003691061033234207
K7/C6,P,On_time,5,0.07591473325820126,0.13710942123976952,0.061194687981568255,0.061194687981568255,0.06119468798156824,0.017538717450169168
K7/C7,B0,Queue,5,0.00014020091377249955,0.051146648778300705,0.0510064478645282,0.0510064478645282,0.051006447864528216,0.0018626913464259575
K7/C7,B0,Service,5,0.969584217104873,0.8425072898733111,-0.12707692723156183,0.12707692723156183,0.1270769272315619,0.004931970540222573
K7/C7,B0,On_time,5,0.03027558198135457,0.1063460613483882,0.07607047936703362,0.07607047936703362,0.07607047936703362,0.005273104292790202
K7/C7,B1,Queue,5,0.00014020091377249955,0.0233173080936799,0.0231771071799074,0.0231771071799074,0.023177107179907404,0.0018655937821946294
K7/C7,B1,Service,5,0.969584217104873,0.8799295737307524,-0.08965464337412055,0.08965464337412055,0.08965464337412057,0.004943120434397723
K7/C7,B1,On_time,5,0.03027558198135457,0.09675311817556775,0.06647753619421318,0.06647753619421318,0.06647753619421318,0.0042286715589594
K7/C7,P,Queue,5,0.00014020091377249955,6.691109046510132e-05,-7.328982330739823e-05,7.328982330739823e-05,8.631005142188928e-05,8.725835844783154e-05
K7/C7,P,Service,5,0.969584217104873,0.9748179525676255,0.00523373546275252,0.00523373546275252,0.0052337354627524976,0.0033980023887659073
K7/C7,P,On_time,5,0.03027558198135457,0.025115136341909438,-0.005160445639445132,0.005160445639445132,0.0051604456394451345,0.0033096669241728864
K7/C8,B0,Queue,5,5.316848517598846e-05,0.05258609191342726,0.05253292342825127,0.05253292342825127,0.05253292342825128,0.0017343280142781083
K7/C8,B0,Service,5,0.9622925175744113,0.8429827795445416,-0.11930973802986966,0.11930973802986966,0.11930973802986974,0.01364932991905506
K7/C8,B0,On_time,5,0.03765431394041281,0.10443112854203132,0.06677681460161851,0.06677681460161851,0.06677681460161852,0.01444405384365597
K7/C8,B1,Queue,5,5.316848517598846e-05,0.024326541051837937,0.024273372566661948,0.024273372566661948,0.024273372566661944,0.0014312295767809585
K7/C8,B1,Service,5,0.9622925175744113,0.8795507591709866,-0.08274175840342468,0.08274175840342468,0.0827417584034246,0.010976728114955687
K7/C8,B1,On_time,5,0.03765431394041281,0.0961226997771754,0.05846838583676259,0.05846838583676259,0.058468385836762594,0.011731689836169837
K7/C8,P,Queue,5,5.316848517598846e-05,8.890086327644463e-06,-4.4278398848344e-05,4.4278398848344e-05,4.8034311429559144e-05,6.991070501421037e-05
K7/C8,P,Service,5,0.9622925175744113,0.9687379037982657,0.006445386223854488,0.006445386223854488,0.008409995633686097,0.005054225357720514
K7/C8,P,On_time,5,0.03765431394041281,0.03125320611540663,-0.0064011078250061845,0.0064011078250061845,0.008365662147782218,0.005025508050145305
