fold,run,K,C,A_start,training_n,training_runs,test_n,train_W_q25_ns,train_W_q75_ns,test_low_n,test_high_n,test_low_service_mean_ms,test_high_service_mean_ms,high_minus_low_ms,heldout_spearman_W_S,heldout_service_CDF_mean
2,271,7,7,0,2661,4,695,51836.0,218111.0,180,178,26.264633294444444,27.81453691573034,1.549903621285896,0.15845615779117464,0.47097618410345005
2,271,7,7,1,4913,4,1274,56678.0,303544.0,343,302,28.13168725655977,29.325463784768214,1.1937765282084456,0.09378091813302818,0.4854252054827786
2,271,7,7,2,6501,4,1592,58494.0,369919.0,401,417,28.51021151371571,29.222726537170264,0.7125150234545536,0.06353288329126756,0.4642234205947442
2,271,7,7,3,7244,4,1819,57702.0,393524.5,454,470,28.704141079295155,28.88220019361702,0.17805911432186505,-0.061841250145233964,0.46452076962937083
2,271,7,7,4,7685,4,1937,52789.0,386281.0,469,468,28.381898475479744,28.710970294871796,0.3290718193920519,-0.014148122128142902,0.46757681542431756
2,271,7,7,5,7766,4,1952,48587.0,342711.0,459,524,28.637735389978214,28.37880071946565,-0.2589346705125628,-0.0898009163630193,0.46803116411174395
2,271,7,7,6,8713,4,2217,44445.0,416118.0,506,593,28.00862763043478,28.957117404721757,0.9484897742869762,0.1649987867341077,0.4872608555044099
2,276,7,8,0,2648,4,760,47834.0,181081.0,229,170,26.11595489956332,28.19025550588235,2.0743006063190315,0.15079783765555624,0.45393196454126256
2,276,7,8,1,5046,4,1355,54417.0,305834.5,336,345,27.90649696428571,28.6964062115942,0.7899092473084899,0.09381806906194928,0.4639346060523625
2,276,7,8,2,6507,4,1715,57222.5,411415.5,489,411,28.07953182822086,28.760808238442824,0.6812764102219653,0.04558170112232215,0.4652683967613259
2,276,7,8,3,7235,4,1804,57889.0,417198.5,512,431,28.439290439453124,28.616080064965196,0.17678962551207178,-0.03982166995136116,0.46379702940712264
2,276,7,8,4,7626,4,1904,55593.0,397197.25,515,449,28.201519473786405,28.44756925389755,0.24604978011114653,-0.04738044397586372,0.4642074079828627
2,276,7,8,5,7597,4,1867,51038.0,364520.0,472,442,28.194762675847457,28.053288846153848,-0.14147382969360933,-0.07212746700471158,0.4582485023723527
2,276,7,8,6,7435,4,1776,44042.0,245408.5,433,430,27.869972085450346,27.674939753488374,-0.195032331961972,-0.03272397859275898,0.4440094936900586
2,276,7,8,7,1293,4,156,64973.0,652802.0,58,40,28.38111205172414,30.35935125,1.9782391982758583,0.17296391711842707,0.47495389374739727
