run_index,K,C,valid_slot,run_id,acquisition_phase,source_artifact,actual_round_id
252,7,3,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k7/run03,3.0
253,7,3,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k7/run04,4.0
254,7,3,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c3/k7/run05,5.0
255,7,4,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k7/run01,1.0
256,7,4,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k7/run02,2.0
257,7,4,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k7/run03,3.0
258,7,4,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k7/run04,4.0
259,7,4,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c4/k7/run05,5.0
260,7,5,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k7/run01,1.0
261,7,5,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k7/run02,2.0
262,7,5,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k7/run03,3.0
263,7,5,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k7/run04,4.0
264,7,5,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c5/k7/run05,5.0
265,7,6,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k7/run01,1.0
266,7,6,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k7/run02,2.0
267,7,6,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k7/run03,3.0
268,7,6,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k7/run04,4.0
269,7,6,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c6/k7/run05,5.0
270,7,7,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k7/run01,1.0
271,7,7,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k7/run02,2.0
272,7,7,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k7/run03,3.0
273,7,7,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k7/run04,4.0
274,7,7,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c7/k7/run05,5.0
275,7,8,1,run01,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k7/run01,1.0
276,7,8,2,run02,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k7/run02,2.0
277,7,8,3,run03,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k7/run03,3.0
278,7,8,4,run04,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k7/run04,4.0
279,7,8,5,run05,ORIGINAL_CAMPAIGN,results/local_concurrency_formal_full/c8/k7/run05,5.0
