K,C,A_start,valid_heldout_run_groups,mean_high_minus_low_service_ms,SD_high_minus_low_service_ms,negative_direction_runs,median_heldout_spearman
4,8,2,5,-0.2010728581210095,0.10706794163557648,5,-0.0666068232088453
4,8,3,5,-0.49720430242788327,0.11015479464858569,5,-0.1861754714359909
5,1,0,5,-0.03412171186112526,0.08328199008803494,3,-0.4896857596339826
5,2,0,5,0.4513739136731433,0.06063503271086694,0,0.2611812804335789
5,2,1,5,-3.2677618336522327,0.28153664701233416,5,-0.5372378253961817
5,3,0,5,1.0557321994974007,0.1184083875119088,0,0.2854177132665684
5,3,1,5,0.25315913496738746,0.1696917144061538,0,0.0874255757655169
5,3,2,5,-3.8338362398537904,0.9633158481257111,5,-0.7987950560272031
5,4,0,5,1.6715282980109059,0.25599465953006184,0,0.2166538098687334
5,4,1,5,0.7798317784776618,0.2545596674531102,0,0.1561647803822504
5,4,2,5,0.03955130433582353,0.29127176456074705,2,-0.0278531293180468
5,4,3,5,-8.112441702148079,1.4605276357928016,5,-0.8282123450985395
5,5,0,5,1.603890306529675,0.09091142156337659,0,0.2466711122503076
5,5,1,5,0.8332072937368388,0.06283099904131238,0,0.1756562117805552
5,5,2,5,0.09346205003061739,0.1499960167182864,2,0.0284349523500025
5,5,3,5,-0.4548086353841157,0.0802598259620611,5,-0.1407576661608894
5,5,4,5,-0.5675758630706091,0.05556613841791795,5,-0.167419813268585
5,6,0,5,1.6364115656926508,0.22123598877868805,0,0.252943270444004
5,6,1,5,0.8843797041398809,0.0798923006310876,0,0.1663944389955601
5,6,2,5,-0.04448035742174952,0.06767936468582181,3,-0.0206425651990051
5,6,3,5,-0.4913545494515681,0.12216679685216893,5,-0.1491663785815502
5,6,4,5,-0.5965434128341875,0.1075387862652135,5,-0.1459814533169494
5,7,0,5,1.6384656387161811,0.12313662882442789,0,0.2519075632964176
5,7,1,5,0.6569862682210555,0.1381188230777759,0,0.1512849793049124
5,7,2,5,0.08433768032433517,0.11677487234605928,1,-0.0071965525059909
5,7,3,5,-0.6038552383511828,0.08004237828455378,5,-0.1623910390034851
5,7,4,5,-0.595774180554416,0.13627756666708885,5,-0.1451685873990885
