K,C,model,n_mean,n_std,Brier_mean,Brier_std,logloss_mean,logloss_std,true_class_exact_zero_mean,true_class_exact_zero_std,Queue_observed_mean,Queue_observed_std,Queue_predicted_mean,Queue_predicted_std,Queue_absolute_error_mean,Queue_absolute_error_std,Service_observed_mean,Service_observed_std,Service_predicted_mean,Service_predicted_std,Service_absolute_error_mean,Service_absolute_error_std,On_time_observed_mean,On_time_observed_std,On_time_predicted_mean,On_time_predicted_std,On_time_absolute_error_mean,On_time_absolute_error_std,n_valid_runs
3,4,P,5377.2,2.5884358211089658,0.0016288036564333225,0.0008186684844341844,0.006206181856929197,0.0033980140006756713,0.0,0.0,0.0004834788391494515,0.0003623520791923111,3.641846485133783e-07,1.3150741855599388e-07,0.0004831146545009382,0.00036228454577907747,0.00044631794783838694,0.000166281359186711,0.0003496417220786876,0.0002636922675973435,0.0001996123961943336,0.0001111411076982032,0.9990702032130121,0.00032184274774886687,0.9996499940932727,0.0002637510236555224,0.0005797908802605889,0.0002704071898888784,5
3,5,B0,5372.4,6.46529195009786,0.0009757558955474132,0.0003480524504302674,0.00762785510502582,0.0015725546789827289,0.0,0.0,0.0001487196642973281,0.000242313800670488,0.001619560037895109,0.00034318344729834175,0.001470840373597781,0.0004613809534530213,0.00037217657732336527,0.0001312371569164403,0.004892456763205376,0.0008089122575380095,0.004520280185882011,0.000906369347663418,0.9994791037583793,0.00035721579800292505,0.9934879831988995,0.0011043910505033115,0.00599112055947979,0.0012938315879262024,5
3,5,B1,5372.4,6.46529195009786,0.0010713201608814206,0.00026200963183696405,0.008104336207146127,0.0011107906761115118,0.0,0.0,0.0001487196642973281,0.000242313800670488,0.0023287476354258096,0.00040363466451546603,0.0021800279711284816,0.0005060386912207141,0.00037217657732336527,0.0001312371569164403,0.004335048287525614,0.000442284304609489,0.003962871710202248,0.0005465239529695023,0.9994791037583793,0.00035721579800292505,0.9933362040770486,0.0008322723661327037,0.0061428996813307265,0.0010326088621679455,5
3,5,P,5372.4,6.46529195009786,0.000610518897840658,0.0007085962149149594,0.0028596255094942525,0.004039990059485399,0.0,0.0,0.0001487196642973281,0.000242313800670488,1.701074285752916e-07,3.3603790073959565e-07,0.00014856100118974697,0.00024198267923671363,0.00037217657732336527,0.0001312371569164403,0.0004071809614462498,5.533477413933718e-05,8.855338415778766e-05,8.275371325447307e-05,0.9994791037583793,0.00035721579800292505,0.9995926489311252,5.539294994984954e-05,0.00023710294102652352,0.0002622574718924888,5
3,6,B0,5353.8,2.3874672772626737,0.002524471899165214,0.0001581269769441547,0.03095346416470145,0.002053099823098511,0.0,0.0,0.0,0.0,0.003878160410285704,0.0002915830001054394,0.003878160410285704,0.0002915830001054394,0.00022412456161786734,0.00015627042697772249,0.0248909790060348,0.001879572832653482,0.024666854444416936,0.0019434114065546083,0.9997758754383821,0.00015627042697774867,0.9712308605836796,0.001904936422627546,0.02854501485470262,0.001975375136367794,5
3,6,B1,5353.8,2.3874672772626737,0.0030658629860119404,0.00021250932562303705,0.03290118395356403,0.002273099236505124,0.0,0.0,0.0,0.0,0.00552963380621261,0.00030662192621347314,0.00552963380621261,0.00030662192621347314,0.00022412456161786734,0.00015627042697772249,0.024983439920861696,0.0019795496546549645,0.024759315359243826,0.002051189900518459,0.9997758754383821,0.00015627042697774867,0.9694869262729255,0.0022669563624430748,0.03028894916545648,0.0023406617610907962,5
3,6,P,5353.8,2.3874672772626737,0.0003267575399861763,0.00019440582822682413,0.0019591690850973044,0.0025670806413364403,0.2,0.4472135954999579,0.0,0.0,4.4872053681155296e-07,8.956072085748188e-07,4.4872053681155296e-07,8.956072085748188e-07,0.00022412456161786734,0.00015627042697772249,0.000396118981965388,0.00014190888856375157,0.00017250491625496602,0.00010903938435603909,0.9997758754383821,0.00015627042697774867,0.9996034322974978,0.00014248547935864813,0.0001728735161125039,0.0001091778698577937,5
3,7,B0,5352.0,2.23606797749979,0.003232896726253658,0.00042967667606936763,0.0336500450344803,0.002557059158403424,0.0,0.0,0.0,0.0,0.0022526348791919682,0.0003040722930715814,0.0022526348791919682,0.0003040722930715814,0.00037369911089656327,0.0001321325298449832,0.029852067957272816,0.001606936513750005,0.02947836884637625,0.0016727380460464316,0.9996263008891034,0.00013213252984498877,0.9678952971635353,0.0018013012275464896,0.03173100372556821,0.0018785742888057218,5
3,7,B1,5352.0,2.23606797749979,0.0035831153801644685,0.000371903550904252,0.033732928267552406,0.002217875192362315,0.0,0.0,0.0,0.0,0.002757721881380028,0.00014766073692222038,0.002757721881380028,0.00014766073692222038,0.00037369911089656327,0.0001321325298449832,0.029303700153714075,0.0015317501197637604,0.02893000104281751,0.0015976816357100374,0.9996263008891034,0.00013213252984498877,0.9679385779649058,0.0016677780915187062,0.031687722924197546,0.0017361456101508631,5
3,7,P,5352.0,2.23606797749979,0.00017243390131015498,0.00018786010255211064,0.0004599564336457844,0.0005596329070935276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037369911089656327,0.0001321325298449832,0.00042610483329486053,8.292527240104647e-05,9.661610023132283e-05,9.2064544137263e-05,0.9996263008891034,0.00013213252984498877,0.9995738951667053,8.292527240103849e-05,9.661610023130596e-05,9.206454413725643e-05,5
