fold,model,scope,stage,bin,n,predicted,observed
1,P,K5,Queue,0,71008,0.00039512599938982016,0.0030982424515547543
1,P,K5,Queue,1,66,0.1363143215292461,0.21212121212121213
1,P,K5,Queue,2,28,0.2482817172973632,0.32142857142857145
1,P,K5,Queue,3,21,0.3424877392013834,0.2857142857142857
1,P,K5,Queue,4,9,0.4295544952009965,0.3333333333333333
1,P,K5,Queue,5,3,0.5599275399175653,0.3333333333333333
1,P,K5,Queue,6,1,0.6473454301075269,0.0
1,P,K5,Queue,7,5,0.7452368248597283,1.0
1,P,K5,Queue,8,1,0.8986409038807925,1.0
1,P,K5,Queue,9,5,0.9824894286648365,1.0
1,P,K5,Service,0,37634,0.021034342541271872,0.01666046659935165
1,P,K5,Service,1,11151,0.14996868482885176,0.192090395480226
1,P,K5,Service,2,8020,0.2452708099506903,0.2339152119700748
1,P,K5,Service,3,5001,0.34336314896299763,0.20595880823835233
1,P,K5,Service,4,2069,0.4447358545214074,0.32817786370227164
1,P,K5,Service,5,2254,0.5563957065716454,0.2528837622005324
1,P,K5,Service,6,1491,0.640992752138444,0.30985915492957744
1,P,K5,Service,7,1022,0.7534058836109956,0.49510763209393344
1,P,K5,Service,8,1963,0.8369069484040145,0.4360672440142639
1,P,K5,Service,9,542,0.951371576677297,0.5645756457564576
1,P,K5,On_time,0,720,0.053081123954156026,0.3861111111111111
1,P,K5,On_time,1,1894,0.15293180446876328,0.5575501583949314
1,P,K5,On_time,2,975,0.24740107974868247,0.5035897435897436
1,P,K5,On_time,3,1465,0.3592510492236823,0.689419795221843
1,P,K5,On_time,4,2247,0.44364450890668927,0.7436582109479306
1,P,K5,On_time,5,2077,0.5552170307072612,0.6639383726528647
1,P,K5,On_time,6,4989,0.6566163827473481,0.7901383042693927
1,P,K5,On_time,7,8002,0.7546765040059923,0.758685328667833
1,P,K5,On_time,8,11156,0.8500217908756059,0.8046790964503406
1,P,K5,On_time,9,37622,0.9789590541702083,0.9822444314496837
1,P,K6,Queue,0,77961,0.001303237619659142,0.00472030887238491
1,P,K6,Queue,1,358,0.13775195804893153,0.09217877094972067
