fold,run,K,C,model,n,Brier,logloss,true_class_exact_zero,Queue_observed,Queue_predicted,Queue_absolute_error,Service_observed,Service_predicted,Service_absolute_error,On_time_observed,On_time_predicted,On_time_absolute_error
1,240,7,1,B0,12527,0.18514853943486476,0.37570658739462315,0,1.0,0.7166087618274833,0.28339123817251666,0.0,0.13324796242871556,0.13324796242871556,0.0,0.15014327574380099,0.15014327574380099
1,245,7,2,B0,12520,0.29477356776320834,0.536067618961703,0,1.0,0.6374795425064902,0.3625204574935098,0.0,0.17506443313077055,0.17506443313077055,0.0,0.18745602436273928,0.18745602436273928
1,250,7,3,B0,12539,0.4225888196455807,0.7173640027227178,0,0.2437993460403541,0.2347004356897984,0.009098910350555711,0.3494696546774065,0.37695572955411183,0.027486074876705346,0.40673099928223944,0.38834383475608975,0.01838716452614969
1,255,7,4,B0,12461,0.3299390397856834,0.5941799403183324,0,0.04855148061953294,0.13617428908402518,0.08762280846449225,0.42412326458550675,0.4338513003021808,0.009728035716674022,0.5273252547949603,0.42997441061379404,0.09735084418116624
1,260,7,5,B0,11688,0.3848942963139326,0.6432864804451706,0,0.06904517453798768,0.13524604453799752,0.06620087000000983,0.6048083504449008,0.5579701092571951,0.04683824118770563,0.3261464750171116,0.3067838462048074,0.01936262881230416
1,265,7,6,B0,11444,0.2523079752269774,0.45021092570874616,0,0.08720727018524992,0.09386489485471047,0.006657624669460557,0.8446347430968193,0.781546238512849,0.0630885045839703,0.06815798671793079,0.12458886663244041,0.056430879914509624
1,270,7,7,B0,11411,0.08054210483848678,0.19926773796680686,0,8.763473841030585e-05,0.049704052740146526,0.04961641800173622,0.967925685741828,0.8473830549540933,0.12054263078773475,0.031986679519761634,0.10291289230576019,0.07092621278599856
1,275,7,8,B0,11259,0.08188704592401269,0.1968460012265924,0,0.00017763566924238386,0.053604917574396074,0.05342728190515369,0.9586108890665246,0.8541126197211628,0.10449826934536177,0.041211475264233056,0.09228246270444129,0.051070987440208236
1,0,1,1,B1,1798,0.00030642883316694725,0.013807333199719532,0,0.0005561735261401557,0.007342193280355467,0.006786019754215311,0.0,0.006794967536485816,0.006794967536485816,0.9994438264738599,0.9858628391831588,0.013580987290701119
1,5,1,2,B1,1797,0.00014613757017679265,0.009645749988188217,0,0.0,0.006155463691134076,0.006155463691134076,0.0,0.003442550720536548,0.003442550720536548,1.0,0.9904019855883295,0.009598014411670519
1,10,1,3,B1,1798,0.0007370027279530348,0.006497602884939625,0,0.0,0.0022014019103451447,0.0022014019103451447,0.0005561735261401557,0.003879433455950322,0.003323259929810166,0.9994438264738599,0.9939191646337046,0.0055246618401553205
