acquisition_id,round,trace,policy,phase,K,window,arrival_start_s,arrival_end_s,arrival_count,miss_count,DMR_percent,local_mean_ms,local_p95_ms,local_p99_ms,queue_mean_ms,queue_p95_ms,queue_p99_ms,service_mean_ms,service_p95_ms,service_p99_ms,start_lag_mean_ms,start_lag_p95_ms,start_lag_p99_ms,front_end_mean_ms,front_end_p95_ms,front_end_p99_ms,calendar_completed_fps,time_mean_ready_queue,peak_ready_queue,time_mean_unfinished_backlog,peak_unfinished_backlog,time_mean_generated_unfinished,peak_generated_unfinished,time_mean_A,peak_A
primary_06,1,A,FIXED_C4,0,6,startup,0,1,180,180,100,170.683841222222,262.87625465,277.23030211,91.27057605,150.173141,159.12788534,18.1016691055556,25.4978134,48.05739616,38.6198334055556,169.7287309,181.16347021,22.6917626611111,28.2935296,213.94090751,170,16.329634102,39,30.477763902,52,30.406955216,52,3.112042508,4
primary_06,1,A,FIXED_C4,0,6,phase_remainder,1,15,2520,823,32.6587301587302,31.134016893254,39.0793804,41.21990228,4.22997231111111,14.7388153,17.37352079,14.0786296869048,18.60118705,20.12178326,0.591645165873016,1.9348916,3.33844859,12.2337697293651,14.8551679,16.90588531,180.571428571429,0.768471415071429,8,5.62064174664286,16,5.59077217028571,16,2.54359565042857,4
primary_06,1,A,FIXED_C4,1,7,transition,15,16,210,97,46.1904761904762,34.5070803333333,44.9207961,45.78004676,5.17790725238095,14.64934125,16.15368876,14.8145593761905,18.95788995,20.91763241,1.03999104285714,3.73438555,6.67954088,13.4746226619048,17.5281026,18.48330843,209,1.087360523,3,7.244479906,12,7.205290063,12,3.109050505,4
primary_06,1,A,FIXED_C4,1,7,phase_remainder,16,30,2940,1342,45.6462585034014,34.674008187415,45.59505885,48.07424844,5.47899699557823,15.29963595,17.14318313,14.9415224268707,19.07289065,21.52276848,0.942851595578231,3.3314569,4.96574921,13.3106371693878,16.87995635,18.92042916,209.857142857143,1.150558941,6,7.28083145328571,14,7.23654453321429,14,3.13703987164286,4
primary_06,1,A,FIXED_C4,2,6,transition,30,31,180,58,32.2222222222222,30.8323529555556,38.4506241,39.17070758,4.07846627222222,14.57228265,15.84248439,14.09194035,18.32306205,19.2630595,0.575123444444445,1.7007263,2.88103428,12.0868228888889,14.6178299,15.84057565,183,0.734549922,3,5.567665918,11,5.540600025,11,2.553965656,4
primary_06,1,A,FIXED_C4,2,6,phase_remainder,31,45,2520,814,32.3015873015873,31.0053252503968,38.7615898,40.70939439,4.17271737301587,14.55116335,16.26009383,14.109686456746,18.41995365,19.72232914,0.604748368650794,1.9811077,3.42509343,12.1181730519841,14.83165005,16.3491619,180,0.751089127142857,4,5.58029697814286,12,5.54926413485714,12,2.53908199528571,4
primary_06,1,A,FIXED_C4,3,7,transition,45,46,210,93,44.2857142857143,33.9675989333333,43.8722577,48.61496082,5.25436522857143,14.2473917,16.47183261,14.6238774571429,18.23715895,20.41758512,0.980821728571428,3.5181759,4.38514758,13.1085345190476,16.68321855,17.6307598,209,1.103416698,4,7.123326793,13,7.072212166,13,3.061145283,4
primary_06,1,A,FIXED_C4,3,7,phase_remainder,46,60,2940,1331,45.2721088435374,34.520698007483,45.14655735,47.74919069,5.42565886530612,15.11295235,16.64040112,14.9076028431973,19.0556232,21.15181664,0.95636735170068,3.3715288,5.67359834000001,13.2310689472789,16.72942595,18.53339526,210,1.13938836171429,5,7.24893703257143,14,7.20243203821429,14,3.13018704807143,4
primary_07,2,B,FIXED_C2,0,7,startup,0,1,210,210,100,352.709328671429,395.100265,412.94993903,252.905637128571,353.78515235,360.50428768,10.496166447619,15.9775801,19.0288581,64.9174118571429,213.29878345,236.44863919,24.3901132380952,47.7615369499997,238.17906969,137,40.663697838,75,60.934780225,80,60.832853,80,1.516502117,2
primary_07,2,B,FIXED_C2,0,7,phase_remainder,1,15,2940,2940,100,344.785522342177,371.2845739,375.20823063,320.725140113946,344.2873173,349.12605171,9.34365006632653,12.6751137,15.23718746,0.752311065646259,3.01947665,5.44723703000002,13.9644210962585,18.31750085,20.80096183,211.142857142857,67.7544812645,77,72.8212410043571,82,72.7854431012143,82,1.97624598585714,2
primary_07,2,B,FIXED_C2,1,6,transition,15,16,180,180,100,157.445056755556,257.87505,269.93203124,136.3895483,235.45423385,248.85052343,8.58894301111111,10.35111725,11.56585483,0.598736427777778,1.99596835,3.53103066,11.8678290166667,14.09637035,14.65590132,230,31.302783238,59,35.527706726,63,35.498936095,63,1.980941708,2
