acquisition_id,round,trace,policy,phase,boundary_s,boundary_ns,K_before,K_after,C_before,C_after,logical_boundary_ns,notification_ns,apply_ns,cap_apply_delay_ms,offset_ms,sample_ns,sample_side,C,A,ready_queue,unfinished_backlog,generated_unfinished,due_not_generated,online_active_counter,observed_K,latest_event_seq,latest_event_ns,unfinished_slack_min_ms,unfinished_slack_p10_ms,unfinished_slack_median_ms,unfinished_slack_p90_ms,unfinished_late_count,unfinished_late_fraction,unfinished_urgent_5ms_count,unfinished_urgent_10ms_count,ready_slack_min_ms,ready_slack_p10_ms,ready_slack_median_ms,ready_slack_p90_ms,ready_late_count,ready_late_fraction,ready_urgent_5ms_count,ready_urgent_10ms_count,generated_slack_min_ms,generated_slack_p10_ms,generated_slack_median_ms,generated_slack_p90_ms,generated_late_count,generated_late_fraction,generated_urgent_5ms_count,generated_urgent_10ms_count
primary_02,1,A,FIXED_C2,2,30,85592271800980,7,6,2,2,85592271800980,85592271897037,85592271921731,0.120751,1000,85593271800980,RIGHT_CONTINUOUS,2,2,0,8,2,6,2,6,24122,85593266153261,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,2,0.25,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_02,1,A,FIXED_C2,3,45,85607271800980,6,7,2,2,85607271800980,85607271887046,85607271912296,0.111316,1,85607272800980,RIGHT_CONTINUOUS,2,2,0,9,9,0,2,7,34211,85607272108936,-1.00000066666667,-1.00000066666667,32.3333333333333,32.3333333333333,2,0.222222222222222,0,0,,,,,0,,0,0,-1.00000066666667,-1.00000066666667,32.3333333333333,32.3333333333333,2,0.222222222222222,0,0
primary_02,1,A,FIXED_C2,3,45,85607271800980,6,7,2,2,85607271800980,85607271887046,85607271912296,0.111316,5,85607276800980,RIGHT_CONTINUOUS,2,0,0,7,7,0,0,7,34213,85607276542458,28.3333333333333,28.3333333333333,28.3333333333333,28.3333333333333,0,0,0,0,,,,,0,,0,0,28.3333333333333,28.3333333333333,28.3333333333333,28.3333333333333,0,0,0,0
primary_02,1,A,FIXED_C2,3,45,85607271800980,6,7,2,2,85607271800980,85607271887046,85607271912296,0.111316,10,85607281800980,RIGHT_CONTINUOUS,2,0,0,7,7,0,0,7,34213,85607276542458,23.3333333333333,23.3333333333333,23.3333333333333,23.3333333333333,0,0,0,0,,,,,0,,0,0,23.3333333333333,23.3333333333333,23.3333333333333,23.3333333333333,0,0,0,0
primary_02,1,A,FIXED_C2,3,45,85607271800980,6,7,2,2,85607271800980,85607271887046,85607271912296,0.111316,20,85607291800980,RIGHT_CONTINUOUS,2,2,5,7,7,0,2,7,34222,85607290827680,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0
primary_02,1,A,FIXED_C2,3,45,85607271800980,6,7,2,2,85607271800980,85607271887046,85607271912296,0.111316,50,85607321800980,RIGHT_CONTINUOUS,2,2,5,7,7,0,2,7,34250,85607321724198,16.6666663333333,16.6666663333333,16.6666663333333,16.6666663333333,0,0,0,0,16.6666663333333,16.6666663333333,16.6666663333333,16.6666663333333,0,0,0,0,16.6666663333333,16.6666663333333,16.6666663333333,16.6666663333333,0,0,0,0
primary_02,1,A,FIXED_C2,3,45,85607271800980,6,7,2,2,85607271800980,85607271887046,85607271912296,0.111316,100,85607371800980,RIGHT_CONTINUOUS,2,2,1,10,3,7,2,7,34286,85607370562000,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,3,0.3,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_02,1,A,FIXED_C2,3,45,85607271800980,6,7,2,2,85607271800980,85607271887046,85607271912296,0.111316,500,85607771800980,RIGHT_CONTINUOUS,2,2,1,10,3,7,2,7,34622,85607768099640,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,3,0.3,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_02,1,A,FIXED_C2,3,45,85607271800980,6,7,2,2,85607271800980,85607271887046,85607271912296,0.111316,1000,85608271800980,RIGHT_CONTINUOUS,2,2,1,10,3,7,2,7,35042,85608269073035,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,3,0.3,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_03,1,A,K_LOOKUP_C2_C4,1,15,85641099785040,6,7,2,4,85641099785040,85641099880526,85641099908869,0.123829,1,85641100785040,RIGHT_CONTINUOUS,4,2,0,9,9,0,2,7,10807,85641100046148,-1.00000066666667,-1.00000066666667,32.3333333333333,32.3333333333333,2,0.222222222222222,0,0,,,,,0,,0,0,-1.00000066666667,-1.00000066666667,32.3333333333333,32.3333333333333,2,0.222222222222222,0,0
