acquisition_id,round,trace,policy,phase,boundary_s,boundary_ns,K_before,K_after,C_before,C_after,logical_boundary_ns,notification_ns,apply_ns,cap_apply_delay_ms,sample_ns,sample_side,C,A,ready_queue,unfinished_backlog,generated_unfinished,due_not_generated,online_active_counter,observed_K,latest_event_seq,latest_event_ns,unfinished_slack_min_ms,unfinished_slack_p10_ms,unfinished_slack_median_ms,unfinished_slack_p90_ms,unfinished_late_count,unfinished_late_fraction,unfinished_urgent_5ms_count,unfinished_urgent_10ms_count,ready_slack_min_ms,ready_slack_p10_ms,ready_slack_median_ms,ready_slack_p90_ms,ready_late_count,ready_late_fraction,ready_urgent_5ms_count,ready_urgent_10ms_count,generated_slack_min_ms,generated_slack_p10_ms,generated_slack_median_ms,generated_slack_p90_ms,generated_late_count,generated_late_fraction,generated_urgent_5ms_count,generated_urgent_10ms_count
primary_11,2,A,FIXED_C2,2,30,86167238928731,7,6,2,2,86167238928731,86167239024982,86167239049529,0.120798,86167238928731,LEFT_LIMIT,2,2,1,3,3,0,2,7,23398,86167235856928,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_11,2,A,FIXED_C2,3,45,86182238928731,6,7,2,2,86182238928731,86182239015244,86182239034225,0.105494,86182238928731,LEFT_LIMIT,2,2,0,2,2,0,2,6,34202,86182234233453,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_12,2,A,K_LOOKUP_C2_C4,1,15,86216194458231,6,7,2,4,86216194458231,86216194555789,86216194583419,0.125188,86216194458231,LEFT_LIMIT,2,2,0,2,2,0,2,6,10798,86216190761635,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_12,2,A,K_LOOKUP_C2_C4,2,30,86231194458231,7,6,4,2,86231194458231,86231194550690,86231194570597,0.112366,86231194458231,LEFT_LIMIT,4,3,0,3,3,0,3,7,23399,86231193027030,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_12,2,A,K_LOOKUP_C2_C4,3,45,86246194458231,6,7,2,4,86246194458231,86246194552826,86246194576234,0.118003,86246194458231,LEFT_LIMIT,2,2,0,2,2,0,2,6,34202,86246189543269,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_13,3,A,K_LOOKUP_C2_C4,1,15,86280134034313,6,7,2,4,86280134034313,86280134151468,86280134197803,0.16349,86280134034313,LEFT_LIMIT,2,2,0,2,2,0,2,6,10798,86280129196977,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_13,3,A,K_LOOKUP_C2_C4,2,30,86295134034313,7,6,4,2,86295134034313,86295134145767,86295134175498,0.141185,86295134034313,LEFT_LIMIT,4,3,0,3,3,0,3,7,23399,86295131433047,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_13,3,A,K_LOOKUP_C2_C4,3,45,86310134034313,6,7,2,4,86310134034313,86310134121526,86310134142174,0.107861,86310134034313,LEFT_LIMIT,2,2,0,2,2,0,2,6,34202,86310129799201,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_14,3,B,FIXED_C2,1,15,86344070465255,7,6,2,2,86344070465255,86344070564808,86344070594152,0.128897,86344070465255,LEFT_LIMIT,2,2,48,50,50,0,2,7,12502,86344062420661,-233.333333666667,-200.000000666667,-100.000000666667,-6.66666666666667e-07,50,1,0,0,-200.000000666667,-200.000000666667,-100.000000666667,-6.66666666666667e-07,48,1,0,0,-233.333333666667,-200.000000666667,-100.000000666667,-6.66666666666667e-07,50,1,0,0
primary_14,3,B,FIXED_C2,2,30,86359070465255,6,7,2,2,86359070465255,86359070559133,86359070579726,0.114471,86359070465255,LEFT_LIMIT,2,2,0,2,2,0,2,6,23400,86359065543118,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_14,3,B,FIXED_C2,3,45,86374070465255,7,6,2,2,86374070465255,86374070556690,86374070579643,0.114388,86374070465255,LEFT_LIMIT,2,2,1,3,3,0,2,7,36000,86374067098250,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_15,3,B,K_LOOKUP_C2_C4,1,15,86407939401197,7,6,4,2,86407939401197,86407939508722,86407939558564,0.157367,86407939401197,LEFT_LIMIT,4,3,0,3,3,0,3,7,12597,86407936958774,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_15,3,B,K_LOOKUP_C2_C4,2,30,86422939401197,6,7,2,4,86422939401197,86422939499522,86422939520180,0.118983,86422939401197,LEFT_LIMIT,2,2,0,2,2,0,2,6,23400,86422935039636,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_15,3,B,K_LOOKUP_C2_C4,3,45,86437939401197,7,6,4,2,86437939401197,86437939509162,86437939530117,0.12892,86437939401197,LEFT_LIMIT,4,4,0,4,4,0,4,7,36000,86437936230652,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,4,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,4,1,0,0
primary_16,3,A,FIXED_C4,1,15,86472078494760,6,7,4,4,86472078494760,86472078598591,86472078638055,0.143295,86472078494760,LEFT_LIMIT,4,2,0,2,2,0,2,6,10798,86472074210810,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_16,3,A,FIXED_C4,2,30,86487078494760,7,6,4,4,86487078494760,86487078736155,86487078762591,0.267831,86487078494760,LEFT_LIMIT,4,4,0,4,4,0,4,7,23398,86487076993247,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,4,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,4,1,0,0
primary_16,3,A,FIXED_C4,3,45,86502078494760,6,7,4,4,86502078494760,86502078586376,86502078602950,0.10819,86502078494760,LEFT_LIMIT,4,2,0,2,2,0,2,6,34202,86502074840242,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
