C,K,metric,n_runs,mean,sample_sd,median,min,max,run01,run02,run03,run04,run05
2,5,local_latency_mean_ms,5,25.72147414651111,1.2446178156532897,26.13607671188889,23.61101481111111,26.83242732277778,26.83242732277778,25.726622038333332,26.13607671188889,23.61101481111111,26.301229848444443
2,5,local_latency_median_ms,5,26.418127899999998,1.279853753806973,26.897977,24.144931,27.24617,27.24617,26.897977,26.938609,24.144931,26.8629525
2,5,local_latency_p95_ms,5,32.49797153,0.6423346651769395,32.32616675,32.0414102,33.62486625,33.62486625,32.15317435,32.3442401,32.0414102,32.32616675
2,5,local_latency_p99_ms,5,48.956674344,19.503919738744194,43.17273278,34.9524602,82.30273755,43.17273278,34.9524602,48.81741892,35.53802227,82.30273755
2,5,start_lag_mean_ms,5,0.8587739138888889,0.12282424817183035,0.8419035776666667,0.6954274467777778,1.0333715672222221,1.0333715672222221,0.8236600184444445,0.8995069593333334,0.6954274467777778,0.8419035776666667
2,5,front_end_mean_ms,5,11.1622673742,0.6586694030570307,10.984582714333333,10.521672788666667,12.276224619666667,12.276224619666667,10.94796491,11.080891838333333,10.521672788666667,10.984582714333333
2,5,queue_wait_mean_ms,5,5.988693128222223,0.7907304772343983,6.266705283888889,4.7281079805555555,6.7487448472222225,5.759207082222222,6.266705283888889,6.4407004472222225,4.7281079805555555,6.7487448472222225
2,5,queue_wait_p95_ms,5,14.95135352,0.420157448672311,15.18149775,14.420407,15.37912415,14.420407,15.1880446,15.18149775,14.5876941,15.37912415
2,5,inference_mean_ms,5,7.7117397302,0.03730094353499115,7.714977467,7.665806595111111,7.763624053666667,7.763624053666667,7.688291826,7.714977467,7.665806595111111,7.725998709222222
2,5,inference_p95_ms,5,9.09842465,0.045623984409710466,9.0951255,9.0318712,9.1562431,9.1197806,9.0318712,9.0951255,9.1562431,9.08910285
2,5,deadline_miss_pct,5,2.351111111111111,1.8873621280689978,1.5333333333333334,1.2777777777777777,5.711111111111111,5.711111111111111,1.2777777777777777,1.5333333333333334,1.4444444444444444,1.788888888888889
2,5,peak_waiting_queue,5,26.6,4.03732584763727,27,21,32,28,25,27,21,32
2,5,time_weighted_waiting_queue,5,0.9004002401111078,0.11902310543992572,0.9421175882779418,0.7105186863423836,1.0146503546872152,0.866159212179529,0.9421175882779418,0.9685553590684695,0.7105186863423836,1.0146503546872152
2,5,max_active_inferences,5,2,0.0,2,2,2,2,2,2,2,2
2,5,service_overlap_pair_count,5,7165.6,119.42487178138397,7219,6952,7222,7219,7216,7219,6952,7222
2,5,service_overlap_time_ms,5,30300.1731464,386.4521018229301,30433.8592,29633.018619,30577.298899,30317.080619,30433.8592,30539.608395,29633.018619,30577.298899
